CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5864,5,0,absolon,195,2013-10-13 00:00:00,Yes
5348,5,0,andbart,684,2013-06-24 00:00:00,Yes
5325,5,0,HairyBones,205,2013-06-21 00:00:00,Yes
28093,,0,Dimarik0277,907,2024-12-05 00:00:00,Yes
28094,,0,Dimarik0277,960,2024-12-05 00:00:00,Yes
27065,,0,GermanTron,890,2023-12-06 00:00:00,Yes
26209,,0,Logan1109,578,2023-01-27 00:00:00,Yes
21868,,0,MoBy41,637,2017-11-12 00:00:00,Yes
17817,,0,Casperr,344,2016-01-01 00:00:00,Yes
12418,,0,Lurker,144,2015-02-13 00:00:00,Yes
12430,,0,bh72,884,2015-02-13 00:00:00,Yes
7296,,0,Lurker,276,2014-07-25 00:00:00,Yes
