CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4191,5,0,mabik,225,2012-11-08 00:00:00,Yes
3792,5,0,chrome3,225,2012-09-21 00:00:00,Yes
5294,0,1,mynameisRAIN,546,2013-06-15 00:00:00,Yes
4532,0,0,gustavoaaps,523,2013-01-08 00:00:00,Yes
27723,,0,stiven2326,97,2024-09-07 00:00:00,Yes
24787,,0,Zaikrot,949,2021-06-13 00:00:00,Yes
24029,,0,matt9,664,2020-07-10 00:00:00,Yes
21805,,0,DannyOmega,676,2017-10-26 00:00:00,Yes
15284,,0,jeypoz,160,2015-11-01 00:00:00,Yes
14463,,1,sztikk,142,2015-07-29 00:00:00,Yes
11710,,0,alice989,68,2015-01-24 00:00:00,Yes
8721,,0,Lurker,487,2014-09-20 00:00:00,Yes
8722,,0,Lurker,212,2014-09-20 00:00:00,Yes
8723,,0,Lurker,499,2014-09-20 00:00:00,Yes
8724,,0,Lurker,593,2014-09-20 00:00:00,Yes
